state_code,default_rate_90,z_score,is_outlier
MG,51.67741119104841,2.352752389075924,True
MG,100.0,4.961662144565444,True
MG,64.67360654804713,3.0544097647842516,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,72.80258265760466,3.4932886741533875,True
MG,100.0,4.961662144565444,True
MG,83.4249297762241,4.066783300724979,True
MG,69.72918391490842,3.327357581470619,True
MG,45.839615788678,2.0375730547068462,True
MG,59.29788188696177,2.7641773733331307,True
MG,48.10862121065115,2.160075398363314,True
MG,100.0,4.961662144565444,True
MG,59.55958343018435,2.778306494432983,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,85.2245661573501,4.163944670319973,True
MG,54.95775686041115,2.529856431494134,True
MG,54.68167903737871,2.5149511430247746,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,84.76448148898562,3.421654596174891,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,88.39077847618661,3.588354845619532,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,59.13372735125476,2.2434132322451505,True
MS,60.040096997694,2.285078889162869,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,60.41115934012916,2.3021365612900486,True
MS,100.0,4.122028764415562,True
MS,100.0,4.122028764415562,True
MS,59.613188853898535,2.265453995142376,True
MS,83.90870492298369,3.382314694472159,True
MS,99.78260523585656,4.112035164459856,True
MS,79.13190513769997,3.162726029074807,True
MS,57.21454841770651,2.1551889064161913,True
MS,100.0,4.122028764415562,True
MS,83.89154113428661,3.381525678054773,True
MS,100.0,4.122028764415562,True
MS,99.48431629673131,4.098322873179175,True
MS,90.00295157031518,3.662466165758981,True
MS,73.6140904603111,2.9090730364058297,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,48.80872172088955,2.1269829233010333,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,100.0,4.821098057032248,True
MT,47.01430620429295,2.0325457034858414,True
MT,57.90481154214696,2.6056955882127073,True
MT,52.73930215558069,2.3338430875601164,True
MT,53.62350171300364,2.3803770966525146,True
